Name	Have	Short name	Max rarity	Rarity	Level	Immortal	Equipment	Tier	In portal	Collections	Voyage rank	Gauntlet rank	Command core	Command min	Command max	Diplomacy core	Diplomacy min	Diplomacy max	Engineering core	Engineering min	Engineering max	Medicine core	Medicine min	Medicine max	Science core	Science min	Science max	Security core	Security min	Security max	Traits	Action name	Boosts	Amount	Initialize	Duration	Cooldown	Bonus Ability	Trigger	Uses per Battle	Handicap Type	Handicap Amount	Accuracy	Crit Bonus	Crit Rating	Evasion	Charge Phases
Captain Beverly Picard	FALSE	Crusher	5	5	100	0	0 1 2 3	5	FALSE	Do No Harm	212	22	1063	186	390	544	134	277	0	0	0	1065	345	866	0	0	0	0	0	0	["Human","Starfleet","Federation","Physician","Cyberneticist","female","organic","tng","captain","crusher","crew_max_rarity_5"]	Not On My Ship!	Evasion	6	4	6	4						250	100	85	500	After 6s +2 Evasion; After 14s +4 Evasion
Dress Uniform Beverly Crusher	FALSE	Crusher	4	4	100	0	0 1 2 3	8	TRUE	Do No Harm	705	629	0	0	0	703	82	277	0	0	0	931	196	488	0	0	0	0	0	0	["Human","Starfleet","Federation","Physician","Caregiver","Cyberneticist","female","organic","tng","commander","crusher","crew_max_rarity_4"]	The Bride and Groom	Accuracy	8	10	6	12						400	195	217	415	
Saowin	FALSE	Saowin	4	4	100	0	0 1 2 3	10	TRUE		678	675	0	0	0	0	0	0	778	107	250	0	0	0	1014	193	419	0	0	0	["Desperate","Resourceful","Ambassador","Civilian","male","organic","nonhuman","voy","saowin","crew_max_rarity_4"]	I Have Some Bad News	Evasion	7	6	8	10	Immediately repairs Shields by 15%	None	2			400	50	96	474	
Redjac Jaris	FALSE	Jaris	5	5	100	0	0 1 2 3	5	TRUE	New Life and New Civilizations	100	474	1168	111	340	608	56	137	0	0	0	0	0	0	0	0	0	1506	181	431	["Argelian","Brutal","Villain","Diplomat","male","organic","nonhuman","tos","jaric","redjac","crew_max_rarity_5"]	Die! Make You Suffer!	Accuracy	8	6	8	14	Immediately deals 400% damage	None	2	Evasion	3	120	100	125	615	
Species 8472 Invader	FALSE	Species 8472	5	5	100	0	0 1 2 3	7	TRUE		334	34	0	0	0	0	0	0	0	0	0	0	0	0	1170	267	672	1184	397	803	["Hunter","Species 8472","Brutal","Resourceful","Telepath","organic","voy","nonhuman","species_8472","crew_max_rarity_5"]	The Weak Will Perish	Attack	10	8	8	10				Evasion	3	365	200	153	675	
Commodore Robert April	FALSE	April	5	5	100	0	0 1 2 3	10	TRUE	Valor in Combat	232	71	1264	263	570	996	209	426	0	0	0	0	0	0	0	0	0	519	144	300	["Veteran","Human","Starfleet","Maverick","Explorer","male","organic","tos","april_robert","captain","crew_max_rarity_5"]	Into The Heart Of The Nova	Attack	9	10	8	10				Accuracy	2	450	100	80	490	
Vargas	FALSE	Vargas	5	5	100	0	0 1 2 3	10	TRUE	Valor in Combat	335	330	1324	140	329	0	0	0	0	0	0	0	0	0	0	0	0	1347	316	658	["Human","Federation","Starfleet","Brutal","Veteran","Hero","male","organic","ds9","vargas","crew_max_rarity_5"]	HOLD POSITIONS!	Attack	10	8	10	10				Evasion	3	650	240	235	500	
Nyota Uhura	FALSE	Uhura	5	5	100	0	0 1 2 3	9	TRUE		327	477	1034	84	144	1208	271	529	0	0	0	0	0	0	0	0	0	622	72	144	["Human","Federation","Starfleet","Communicator","Resourceful","Musician","bridge_crew","female","organic","tos","uhura","lieutenant_commander","crew_max_rarity_5"]	Alameda Express	Evasion	8	4	10	10						115	15	167	565	
Dancing Uhura	FALSE	Uhura	5	5	100	0	0 1 2 3	8	TRUE	Timelines' Originals	400	660	1180	95	220	1363	218	444	0	0	0	0	0	0	0	0	0	0	0	0	["Human","Federation","Starfleet","Communicator","Casual","Musician","Artist","bridge_crew","female","organic","tos","uhura","lieutenant_commander","original","crew_max_rarity_5"]	Take The Lead	Attack	8	10	3	14	Immediately deals 300% damage	Position				465	260	60	400	
Gunslinger Uhura	FALSE	Uhura	5	5	100	0	0 1 2 3	6	TRUE	The Wild West, Timelines' Originals	168	115	611	62	134	976	276	523	0	0	0	0	0	0	0	0	0	1356	262	527	["Human","Federation","Starfleet","Communicator","Resourceful","Costumed","Marksman","Smuggler","bridge_crew","female","organic","tos","uhura","lieutenant_commander","original","crew_max_rarity_5"]	Reach For The Sky!	Attack	7	12	3	15	Immediately deals 350% damage	Position				640	220	140	350	
Lt. Commander Uhura	FALSE	Uhura	5	5	100	0	0 1 2 3	4	TRUE		35	487	1489	160	390	1212	165	327	0	0	0	0	0	0	0	0	0	672	63	128	["Human","Federation","Starfleet","Communicator","Resourceful","bridge_crew","female","organic","tos","uhura","lieutenant_commander","crew_max_rarity_5"]	Wormhole Effect!	Accuracy	7	10	6	8	+25% to Attack Speed	Boarding				375	25	158	175	
Sergey and Helena Rozhenko	FALSE	Rozhenkos	5	5	100	0	0 1 2 3	10	TRUE	Valor in Combat	370	423	0	0	0	1367	253	545	1155	149	368	0	0	0	0	0	0	0	0	0	["Civilian","Human","Caregiver","Chef","Warp Theorist","Veteran","male","female","organic","tng","rozhenkos","crew_max_rarity_5"]	You Must Remember We Are With You	Evasion	8	12	6	10	Immediately repairs Hulls by 20%	None	2			375	200	160	300	
Ushaan Shran	FALSE	Shran	5	5	100	0	0 1 2 3	9	TRUE		312	402	1137	94	185	488	151	325	0	0	0	0	0	0	0	0	0	1248	195	400	["Andorian","Duelist","Romantic","Imperial Guard","nonhuman","male","organic","ent","captain","shran","crew_max_rarity_5"]	Debt Owed	Attack	9	6	8	10			3			1440	565	483	390	
Undercover Sulu	FALSE	Sulu	5	5	100	0	0 1 2 3	8	TRUE		296	149	672	35	78	1111	251	748	0	0	0	0	0	0	0	0	0	974	183	392	["Human","Federation","Starfleet","Pilot","Resourceful","Tactician","Undercover Operative","Maverick","Hero","male","organic","tos","lieutenant","bridge_crew","sulu","crew_max_rarity_5"]	Don't Call Me Tiny	Evasion	7	16	3	16	Immediately deals 400% damage	Cloak				600	85	200	350	
Mirror Sulu	FALSE	Sulu	5	5	100	0	0 1 2 3	9	TRUE	Valor in Combat, Smoke and Mirrors	391	676	1121	131	267	0	0	0	0	0	0	0	0	0	0	0	0	1486	192	376	["Brutal","Terran Empire","Starfleet","Mirror Universe","Human","Duelist","Veteran","male","organic","tos","bridge_crew","sulu","mirror","crew_max_rarity_5"]	Live Dangerously	Accuracy	6	4	12	12	+10% to Attack Speed	None				280	95	193	215	After 6s +15% to Attack Speed; After 12s +25% to Attack Speed
Astrosciences Sulu	FALSE	Sulu	5	5	100	0	0 1 2 3	8	TRUE		306	224	1114	95	234	486	81	154	0	0	0	0	0	0	1176	306	704	0	0	0	["Human","Federation","Starfleet","Pilot","Resourceful","Astrophysicist","male","organic","tos","lieutenant","bridge_crew","sulu","crew_max_rarity_5"]	Astrosciences Standing By	Attack	7	12	12	12	+1000 to Crit Rating	None				490	80	100	340	
Trelane	FALSE	Trelane	5	5	100	0	0 1 2 3	8	TRUE		310	98	0	0	0	547	40	106	0	0	0	0	0	0	1095	279	765	1000	210	447	["Romantic","Desperate","Musician","Scoundrel","Resourceful","Crafty","Costumed","nonhuman","male","organic","tos","trelane","crew_max_rarity_5"]	My Game, My Rules!	Accuracy	7	6	12	12	Increase bonus boost by +4	Position				365	70	133	350	
23rd Century Martok	FALSE	Martok	5	5	100	0	0 1 2 3	7	TRUE	Valor in Combat, Timelines' Originals	247	63	538	156	320	998	211	513	0	0	0	0	0	0	0	0	0	1206	207	538	["Klingon","Duelist","Costumed","Veteran","Undercover Operative","nonhuman","male","organic","tos","ds9","martok","original","crew_max_rarity_5"]	Trapped Sabre Bear	Accuracy	9	12	12	12						350	260	340		
Changeling Martok	FALSE	Martok	5	5	100	0	0 1 2 3	7	TRUE	Valor in Combat	199	66	582	88	179	1221	281	617	0	0	0	0	0	0	0	0	0	1017	251	521	["Klingon","Changeling","Veteran","Undercover Operative","Brutal","Dominion","nonhuman","male","organic","ds9","martok","crew_max_rarity_5"]	Sohk-vad	Attack	9	6	6	12	+20% to Attack Speed	Cloak				650	15	220	250	
Chancellor Martok	FALSE	Martok	5	5	100	0	0 1 2 3	6	TRUE	New Life and New Civilizations, Valor in Combat	133	367	1084	149	385	1451	182	420	0	0	0	0	0	0	0	0	0	630	77	170	["Klingon","Duelist","Tactician","Diplomat","Veteran","Chancellor","Cultural Figure","nonhuman","male","organic","ds9","martok","crew_max_rarity_5"]	I will fight any battle. Anywhere	Attack	9	8	8	10				Accuracy	2	400	125	184	450	
Captain Pike	FALSE	Pike	5	5	100	0	0 1 2 3	9	TRUE	To Boldly Go	424	419	1264	214	438	989	203	458	0	0	0	0	0	0	0	0	0	0	0	0	["Starfleet","Human","Federation","Romantic","Inspiring","Hero","captain","male","organic","tos","pike","crew_max_rarity_5"]	Fire All Weapons	Attack	10	4	8	8			2			525	185	130	640	
Christopher Pike	FALSE	Pike	5	5	100	0	0 1 2 3	6	TRUE	To Boldly Go	143	320	1413	188	508	622	56	128	0	0	0	0	0	0	0	0	0	1099	177	391	["Starfleet","Human","Federation","Inspiring","Explorer","Tactician","male","organic","dsc","bridge_crew","captain","pike","crew_max_rarity_5"]	Nobody Gets Left Behind	Attack	7	6	10	14	+750 to Crit Rating	None				290	100	133	375	After 4s +1250 to Crit Rating; After 10s +2000 to Crit Rating
Seven of Nine	FALSE	Seven	5	5	100	0	0 1 2 3	7	TRUE	Resistance Is Futile	292	19	0	0	0	591	101	207	991	257	518	0	0	0	911	279	894	0	0	0	["Human","Borg","Civilian","Federation","nonhuman","female","organic","voy","bridge_crew","seven","crew_max_rarity_5"]	New Collective	Accuracy	7	12	10	14	+2000 to Crit Rating	None				1750		705	440	
Tyler, Son of None	FALSE	Tyler	5	5	100	0	0 1 2 3	8	TRUE		215	295	562	66	224	1160	193	259	0	0	0	0	0	0	0	0	0	1310	251	492	["Human","Klingon","Federation","Starfleet","Gambler","Desperate","Tactician","Survivalist","male","organic","dsc","bridge_crew","tyler","voq","crew_max_rarity_5"]	War Within	Evasion	7	12	10	14	Increase boarding damage by 14%	Boarding				500	25	128	690	
Lt. Commander Jack Crusher	FALSE	Jack	3	3	100	0	0 1 2 3	5	TRUE	To Boldly Go, Rare Crew	873	894	559	103	234	0	0	0	0	0	0	0	0	0	389	27	88	0	0	0	["Starfleet","Federation","Hologram","Romantic","Inspiring","lieutenant_commander","male","tng","jack","crew_max_rarity_3"]	Duty and Honor	Attack	6	8	10	16				Evasion	2	550	100	125	505	
Tucker On-The-Ropes	FALSE	Trip	5	5	100	0	0 1 2 3	7	TRUE	Spit and Bailing Wire, Timelines' Originals	288	313	417	95	192	0	0	0	1368	225	489	0	0	0	0	0	0	1116	154	311	["Human","Starfleet","Jury Rigger","Athlete","Gambler","Desperate","male","organic","ent","commander","tucker","original","crew_max_rarity_5"]	Rope-a-Dope	Attack	7	12	10	14	+2000 to Crit Rating	None				650	305	110	375	
Dark Empath Troi	FALSE	Troi	5	5	100	0	0 1 2 3	4	TRUE		76	189	1078	162	364	0	0	0	0	0	0	544	115	280	0	0	0	1508	205	512	["Starfleet","Federation","Human","Betazoid","Empath","Counselor","Brutal","nonhuman","female","organic","tng","bridge_crew","troi","crew_max_rarity_5"]	Take Me With You!	Attack	9	8	8	8				Evasion	3	450	230	100	430	
Rogue Kai Winn	FALSE	Winn	5	5	100	0	0 1 2 3	9	TRUE		420	93	1158	290	576	846	310	650	0	0	0	0	0	0	0	0	0	0	0	0	["Bajoran","Kai","Cultural Figure","Spiritual","Villain","nonhuman","female","organic","ds9","winn","crew_max_rarity_5"]	End of One Journey	Attack	7	10	10	14	Shield regeneration +2500	None				315	330	110	550	
Away Team Neelix	FALSE	Neelix	2	2	100	0	0 1 2 3	9	TRUE	Uncommon Crew	893	866	0	0	0	215	87	271	409	27	91	0	0	0	176	7	29	0	0	0	["Talaxian","Mylean","Resourceful","Survivalist","Chef","Civilian","Communicator","Geologist","Ambassador","nonhuman","male","organic","voy","neelix","crew_max_rarity_2"]	Genuine Effort	Accuracy	2	8	3	8	Immediately deals 150% damage	None				230	30	20	115	
Resistance Neelix	FALSE	Neelix	5	5	100	0	0 1 2 3	9	TRUE		341	237	0	0	0	1327	260	644	0	0	0	0	0	0	0	0	0	1223	216	438	["Civilian","Talaxian","Mylean","Crafty","Saboteur","Smuggler","Undercover Operative","Resourceful","Chef","Ambassador","nonhuman","male","organic","voy","neelix","crew_max_rarity_5"]	Vital Information	Accuracy	8	10	8	12	+1000 to Crit Rating	None				495	195	210	430	
Tactical Officer Neelix	FALSE	Neelix	5	5	100	0	0 1 2 3	2	TRUE		19	284	0	0	0	605	64	180	0	0	0	1178	160	357	0	0	0	1521	239	509	["Starfleet","Civilian","Talaxian","Mylean","Resourceful","Chef","Survivalist","Ambassador","nonhuman","male","organic","voy","ensign","neelix","crew_max_rarity_5"]	Intruders Among Us! Danger! Danger!	Evasion	8	8	8	8	Immediately repairs Shields by 12%	None	3			250	100	128	125	
Dahar Master Kang	FALSE	Kang	5	5	100	0	0 1 2 3	9	TRUE	New Life and New Civilizations, Valor in Combat	374	533	0	0	0	1409	244	493	0	0	0	0	0	0	0	0	0	1167	122	328	["Klingon","Brutal","Tactician","Cultural Figure","Dahar Master","Diplomat","Veteran","nonhuman","male","organic","ds9","crew_max_rarity_5"]	Glorious Victory	Attack	9	12	10	14	+1000 to Crit Rating	Boarding				865	160	100	465	
Layna	FALSE	Layna	5	5	100	0	0 1 2 3	9	TRUE	To Boldly Go	193	94	465	116	386	1348	272	513	0	0	0	0	0	0	1061	192	355	0	0	0	["Artist","Inspiring","Civilian","Desperate","Romantic","Communicator","nonhuman","female","voy","layna","crew_max_rarity_5"]	You're An Eternal!	Attack	6	10	6	14	+30% to Attack Speed	None				425	200	20	475	
Gladiator McCoy	FALSE	McCoy	5	5	100	0	0 1 2 3	7	TRUE	Do No Harm	380	152	0	0	0	0	0	0	0	0	0	873	308	770	0	0	0	1445	207	416	["Federation","Starfleet","Human","Physician","Desperate","Duelist","Athlete","Prisoner","male","organic","tos","lieutenant_commander","mccoy","crew_max_rarity_5"]	Let The Games Begin!	Attack	9	6	8	12						615	140	100	530	
Torpedo Surgeon McCoy	FALSE	McCoy	5	5	100	0	0 1 2 3	4	TRUE	Do No Harm	170	391	0	0	0	0	0	0	688	33	80	1442	162	552	1036	167	375	0	0	0	["Federation","Starfleet","Human","Physician","Exobiology","Desperate","male","organic","tos","lieutenant_commander","mccoy","crew_max_rarity_5"]	Lock and Load	Accuracy	8	4	6	8	Immediately deals 150% damage	None				300	230	86	250	After 2s Immediately deals 250% damage; After 5s Immediately deals 400% damage
Dr. Hugh Culber	FALSE	Culber	5	5	100	0	0 1 2 3	6	TRUE	Do No Harm	336	610	0	0	0	0	0	0	0	0	0	1577	178	445	1279	137	321	0	0	0	["Human","Physician","Romantic","Federation","Starfleet","male","organic","dsc","culber","crew_max_rarity_5"]	Surgical Precision	Accuracy	10	6	6	10			2			600	240	7	425	
Mycelial Culber	FALSE	Culber	5	5	100	0	0 1 2 3	2	TRUE	Do No Harm	24	44	516	105	342	0	0	0	0	0	0	1485	270	627	1008	224	478	0	0	0	["Human","Physician","Romantic","Federation","Starfleet","Desperate","male","organic","dsc","culber","crew_max_rarity_5"]	You Have to Let Me Go	Attack	9	6	6	6				Evasion	3	400	200	148	500	
Flotter	FALSE	Flotter	4	4	100	0	0 1 2 3	8	TRUE		461	374	0	0	0	712	137	295	0	0	0	347	93	251	984	200	415	0	0	0	["Hologram","Caregiver","Cultural Figure","voy","nonhuman","artificial_life","flotter","male","crew_max_rarity_4"]	No More Lying	Accuracy	8	8	6	10						375	255	125	450	
Cyrus Redblock	FALSE	Cyrus	4	4	100	0	0 1 2 3	9	TRUE	The Big Goodbye	460	246	780	277	597	675	189	364	0	0	0	0	0	0	0	0	0	502	33	75	["Civilian","Human","Hologram","Crafty","Criminal","Villain","male","nonhuman","tng","redblock","crew_max_rarity_4"]	Tolerant Man	Evasion	6	14	10	14	Increase bonus boost by +3	Position				590	185	205	555	
Kai Opaka	FALSE	Opaka	5	5	100	0	0 1 2 3	9	TRUE	To Boldly Go	414	108	1059	211	393	1007	318	858	0	0	0	0	0	0	0	0	0	0	0	0	["Bajoran","Cultural Figure","Spiritual","Communicator","Kai","Inspiring","nonhuman","female","organic","ds9","opaka","crew_max_rarity_5"]	Contemplating Prophecy	Evasion	6	4	8	8						315	380	30	525	After 6s +2 Evasion; After 14s +4 Evasion
Interfaced Barclay	FALSE	Barclay	5	5	100	0	0 1 2 3	7	TRUE	The Daystrom Award	219	204	1204	267	729	0	0	0	1138	88	164	0	0	0	628	111	238	0	0	0	["Innovator","Quantum Mechanics","Prodigy","Human","Federation","Resourceful","male","organic","tng","lieutenant","barclay","crew_max_rarity_5"]	Trust Me	Evasion	7	4	8	12	Shield regeneration +1000	None				340		20	455	After 6s Shield regeneration +2000; After 14s Shield regeneration +3000
1701 Sisko	FALSE	Sisko	5	5	100	0	0 1 2 3	8	TRUE	To Boldly Go	298	347	1101	275	609	590	98	195	0	0	0	0	0	0	0	0	0	1196	74	160	["Human","Federation","Starfleet","Bajoran","Cultural Figure","Inspiring","Undercover Operative","Chef","male","organic","ds9","captain","bridge_crew","sisko","crew_max_rarity_5"]	Times Past	Evasion	9	12	10	14	+1200 to Crit Rating	Boarding				590	380	190	750	
Captain Sisko	FALSE	Sisko	5	5	100	0	0 1 2 3	8	TRUE	New Life and New Civilizations, To Boldly Go	326	445	1305	169	364	559	104	242	0	0	0	0	0	0	0	0	0	994	124	276	["Human","Federation","Starfleet","Bajoran","Cultural Figure","Inspiring","Diplomat","Tactician","Chef","male","organic","ds9","captain","bridge_crew","sisko","crew_max_rarity_5"]	Emissary	Attack	7	14	3	14	Immediately deals 350% damage	Position				1115	1075	40	700	
Benny Russell	FALSE	Benny	5	5	100	0	0 1 2 3	7	TRUE	Valor in Combat	289	60	0	0	0	922	246	658	0	0	0	0	0	0	1315	181	597	407	89	183	["Human","Civilian","Writer","Veteran","Communicator","Desperate","male","organic","ds9","captain","bridge_crew","sisko","crew_max_rarity_5"]	Cannot Destroy an Idea!	Accuracy	10	12	12	12			2			520	515	33	200	
Enemy Lines Sisko	FALSE	Sisko	5	5	100	0	0 1 2 3	5	TRUE	New Life and New Civilizations, To Boldly Go	235	348	1293	221	581	685	12	35	0	0	0	0	0	0	0	0	0	1054	191	377	["Human","Federation","Starfleet","Bajoran","Cultural Figure","Inspiring","Tactician","Desperate","Diplomat","male","organic","ds9","captain","bridge_crew","sisko","crew_max_rarity_5"]	Surrender!	Evasion	8	8	6	12	Immediately deals 400% damage	None	2			550	100	148	440	
Commanding Officer Sisko	FALSE	Sisko	3	3	100	0	0 1 2 3	5	FALSE	To Boldly Go, Rare Crew	830	952	498	12	26	269	14	38	0	0	0	0	0	0	0	0	0	565	32	90	["Human","Federation","Starfleet","Bajoran","Cultural Figure","Inspiring","Chef","male","organic","ds9","captain","bridge_crew","sisko","crew_max_rarity_3"]	Surprise for the Dominion	Accuracy	5	3	8	11						215	85	135	100	
Conflicted Sisko	FALSE	Sisko	5	5	100	0	0 1 2 3	6	TRUE	New Life and New Civilizations	202	24	971	220	488	0	0	0	556	111	239	0	0	0	0	0	0	1176	369	759	["Human","Federation","Starfleet","Bajoran","Cultural Figure","Desperate","Diplomat","Crafty","male","organic","ds9","captain","bridge_crew","sisko","crew_max_rarity_5"]	The Moment I Made The Decision	Attack	9	12	10	14	+1000 to Crit Rating	Boarding				500	215	95	450	
Ishan Chaye Sisko	FALSE	Sisko	5	5	100	0	0 1 2 3	2	TRUE		23	163	0	0	0	1135	136	255	1489	282	559	0	0	0	0	0	0	575	107	337	["Bajoran","Resourceful","Desperate","Undercover Operative","Civilian","Investigator","male","organic","ds9","captain","bridge_crew","sisko","crew_max_rarity_5"]	We're Not Who We Seem To Be	Evasion	9	6	10	10						200	220	160	380	
Tuvix	FALSE	Tuvix	4	4	100	0	0 1 2 3	8	FALSE	Live Long and Prosper	600	314	0	0	0	758	101	258	0	0	0	0	0	0	267	155	342	749	201	409	["Vulcan","Federation","Starfleet","Telepath","Talaxian","Mylean","Resourceful","Chef","Tactician","Communicator","nonhuman","male","organic","voy","lieutenant_commander","bridge_crew","tuvok","neelix","crew_max_rarity_4"]	The Will to Live	Accuracy	6	10	10	14	Shield regeneration +2000	None				1400			500	
Tau	FALSE	Tau	4	4	100	0	0 1 2 3	7	TRUE		456	575	0	0	0	749	123	249	0	0	0	0	0	0	397	81	176	1037	150	354	["Crafty","Saboteur","Criminal","Scoundrel","Resourceful","male","organic","nonhuman","voy","tau","crew_max_rarity_4"]	I'd Hate to Make Your Life Difficult	Attack	6	8	10	10	+1000 to Crit Rating	Position				315	200	90	300	
Orion Vina	FALSE	Vina	5	5	100	0	0 1 2 3	10	TRUE		431	554	0	0	0	1295	246	481	0	0	0	0	0	0	1005	123	303	0	0	0	["Costumed","Orion","Romantic","Desperate","nonhuman","female","tos","vina","crew_max_rarity_5"]	Distracting Dance	Attack	7	4	10	8	Increase boarding damage by 50%	Boarding	2			605	165	255	515	
Beowulf Kim	FALSE	Kim	5	5	100	0	0 1 2 3	9	TRUE	Holodeck Enthusiasts	324	180	446	122	173	0	0	0	1103	168	350	0	0	0	0	0	0	1143	275	568	["Federation","Human","Costumed","Brutal","Duelist","Musician","male","organic","voy","kim","crew_max_rarity_5"]	By Hell-Forged Hands	Attack	6	4	8	8	Shield regeneration +2500	None	2			300	230	150	355	
Captain Harry Kim	FALSE	Kim	5	5	100	0	0 1 2 3	5	TRUE		154	197	1408	229	470	0	0	0	1128	129	325	0	0	0	0	0	0	514	148	314	["Federation","Human","Starfleet","Explorer","Musician","male","organic","voy","kim","captain","crew_max_rarity_5"]	It's The Journey	Evasion	8	8	10	12	+15000 to Crit Bonus	None				240	50	137	350	
Rura Penthe Commandant	FALSE	Commandant	5	5	100	0	0 1 2 3	5	TRUE	Valor in Combat	117	249	1423	215	467	559	92	207	0	0	0	0	0	0	0	0	0	1138	170	394	["Klingon","Interrogator","Veteran","Brutal","Survivalist","Villain","Hunter","nonhuman","male","organic","tos","commandant_klingon","crew_max_rarity_5"]	Punishment Means Exile	Attack	10	6	6	10	Immediately deals 400% damage	None	2	Evasion	3	400	50	108	325	
Arachnia Janeway	FALSE	Janeway	5	5	100	0	0 1 2 3	8	TRUE	Bride Of Chaotica	329	338	980	93	207	1275	270	566	0	0	0	0	0	0	0	0	0	479	87	195	["Human","Federation","Starfleet","Resourceful","Costumed","female","organic","voy","captain","bridge_crew","janeway","crew_max_rarity_5"]	Spider's Pheromones	Evasion	8	6	15	20	+20% to Attack Speed	None	2			300	510	337	1150	
Agent Janeway	FALSE	Janeway	5	5	100	0	0 1 2 3	8	TRUE		265	171	0	0	0	1171	236	553	0	0	0	0	0	0	512	197	434	1175	72	166	["Human","Federation","Starfleet","Costumed","Undercover Operative","Spy","Crafty","female","organic","voy","captain","bridge_crew","janeway","crew_max_rarity_5"]	Let's End This	Attack	8	10	3	14	+10000 to Crit Bonus	Position				465	105	125	675	
Assimilated Janeway	FALSE	Janeway	5	5	100	0	0 1 2 3	6	TRUE	Resistance Is Futile	256	577	1087	121	221	0	0	0	0	0	0	0	0	0	1405	112	417	661	74	182	["Human","Federation","Starfleet","Borg","Undercover Operative","Resourceful","female","organic","voy","captain","bridge_crew","janeway","crew_max_rarity_5"]	I Don't Compromise	Attack	10	8	8	12						625	200	127	415	
Katrine	FALSE	Janeway	5	5	100	0	0 1 2 3	6	TRUE		248	111	1208	306	666	0	0	0	0	0	0	0	0	0	609	41	124	1006	230	429	["Human","Federation","Starfleet","Crafty","Desperate","Gambler","Saboteur","Undercover Operative","female","organic","voy","captain","bridge_crew","janeway","crew_max_rarity_5"]	Leave The War Outside	Attack	7	6	8	14	+2000 to Crit Rating	Cloak				315	385	80	650	
Lucille Davenport	FALSE	Janeway	5	5	100	0	0 1 2 3	6	TRUE		207	267	1140	111	241	1356	247	486	0	0	0	0	0	0	520	137	292	0	0	0	["Starfleet","Federation","Costumed","Resourceful","Romantic","Human","female","organic","voy","captain","bridge_crew","janeway","crew_max_rarity_5"]	Walking On Your Grave	Evasion	10	8	10	10						575	200	110	300	
Timicin	FALSE	Timicin	5	5	100	0	0 1 2 3	9	TRUE		238	253	0	0	0	498	156	310	1072	132	275	0	0	0	1412	186	485	0	0	0	["Kaelon","Astrophysicist","Desperate","Romantic","Civilian","male","organic","timicin","tng","crew_max_rarity_5"]	Time To Go Home	Evasion	9	8	10	10						500	200	145	500	
Grilka	FALSE	Grilka	5	5	100	0	0 1 2 3	10	TRUE		322	225	1006	243	560	1186	141	336	0	0	0	0	0	0	0	0	0	531	81	204	["Klingon","Romantic","Tactician","Resourceful","nonhuman","female","organic","ds9","grilka","crew_max_rarity_5"]	House of Grilka	Attack	8	6	6	6						775	50	83	350	After 4s +1 Attack (+2s Cooldown); After 8s +2 Attack (+4s Cooldown)
Captain Lorian	FALSE	Lorian	5	5	100	0	0 1 2 3	5	TRUE	Live Long and Prosper, Spit and Bailing Wire	188	131	960	177	441	0	0	0	1460	181	455	0	0	0	0	0	0	522	156	327	["Vulcan","Human","Jury Rigger","Desperate","Saboteur","male","organic","ent","captain","lorian","crew_max_rarity_5"]	There's Too Much At Stake	Evasion	10	18	6	6	+2000 to Crit Rating	None				600	245	60	300	
Grand Nagus Zek	FALSE	Zek	5	5	100	0	0 1 2 3	9	TRUE	Rules Of Acquisition	325	473	1141	68	200	1270	237	429	0	0	0	0	0	0	0	0	0	459	97	220	["Ferengi","Cultural Figure","Scoundrel","Gambler","Rich","Merchant","Lord","nonhuman","male","organic","ds9","nagus","zek","crew_max_rarity_5"]	Ferengi Business Expansion	Evasion	8	6	8	10	Immediately repairs Shields by 15%	None	2			250	200	10	15	
Kamala	FALSE	Kamala	5	5	100	0	0 1 2 3	5	TRUE		61	261	1112	148	257	1442	269	546	0	0	0	0	0	0	633	104	197	0	0	0	["Kriosian","Empath","Romantic","Exoarchaeology","nonhuman","female","organic","tng","kamala","crew_max_rarity_5"]	Who I Am Today, I Will Be Forever	Evasion	7	4	6	8						315	95	167	325	After 4s +1 Evasion; After 9s +3 Evasion
Commander Spock	FALSE	Spock	1	1	100	0	0 1 2 3	8	TRUE	Live Long and Prosper, Common Crew	934	916	167	42	184	0	0	0	0	0	0	0	0	0	293	28	128	0	0	0	["Federation","Starfleet","Exobiology","Astrophysicist","Human","Vulcan","Telepath","Musician","nonhuman","male","organic","tos","commander","bridge_crew","first_officer","spock","spock_tos","crew_max_rarity_1"]	Fascinating	Accuracy	1	8	10	14	+7500 to Crit Bonus	None				243		50	305	
Gangster Spock	FALSE	Spock	5	5	100	0	0 1 2 3	5	TRUE	Live Long and Prosper, Spit and Bailing Wire	346	25	0	0	0	0	0	0	271	95	309	0	0	0	977	181	399	991	408	806	["Federation","Starfleet","Civilian","Human","Vulcan","Marksman","Jury Rigger","Musician","Criminal","Telepath","Costumed","nonhuman","male","organic","tos","bridge_crew","first_officer","spock","spock_tos","crew_max_rarity_5"]	Keep Dialin'	Accuracy	7	12	10	14	+20% to Attack Speed	None				835	30	75	1405	
